Horizon,N,Violations,Rate (%)
1d,10450,510,4.8803827751196165
1w,10450,556,5.320574162679426
1m,10450,687,6.574162679425838
3m,10450,716,6.851674641148326
6m,10414,976,9.371999231803342
12m,10282,1077,10.47461583349543
