Horizon,Quantile,Model,Mean QL,MCS p-value,In M*
3m,0.5,HAR-OLS,0.001212967861713997,0.4782,True
3m,0.5,HAR-QR,0.0012005554432306712,1.0,True
3m,0.5,HAR-X-QR,0.001219084525055961,0.4782,True
3m,0.75,Historical Vol,0.0013906247156427669,0.0738,False
3m,0.75,"GARCH(1,1)",0.0016380039880532816,0.0005,False
3m,0.75,HAR-OLS,0.001117688522097543,0.3808,True
3m,0.75,HAR-QR,0.0011090956353156812,1.0,True
3m,0.75,HAR-X-QR,0.0011461825014789774,0.1817,True
3m,0.95,Historical Vol,0.0008096096847886739,0.0911,False
3m,0.95,"GARCH(1,1)",0.0006295323337631109,0.1586,True
3m,0.95,HAR-OLS,0.0005578291676124632,0.9495,True
3m,0.95,HAR-QR,0.0005568672805709167,1.0,True
3m,0.95,HAR-X-QR,0.0005804746706230891,0.7184,True
6m,0.05,Historical Vol,0.0005566223779932817,0.0059,False
6m,0.05,"GARCH(1,1)",0.0008982134968836414,0.0003,False
6m,0.05,HAR-OLS,0.00028235580404659496,1.0,True
6m,0.05,HAR-QR,0.00031331132323167676,0.0323,False
6m,0.05,HAR-X-QR,0.00031681849868955814,0.1392,True
6m,0.25,Historical Vol,0.0011909871076307415,0.039,False
6m,0.25,"GARCH(1,1)",0.0018942882975669928,0.0,False
6m,0.25,HAR-OLS,0.0009564047135055231,1.0,True
6m,0.25,HAR-QR,0.0009695536128619398,0.6124,True
6m,0.25,HAR-X-QR,0.0009764826031469362,0.6124,True
6m,0.5,Historical Vol,0.0015297061502387694,0.1236,True
6m,0.5,"GARCH(1,1)",0.0021081931232747038,0.0,False
6m,0.5,HAR-OLS,0.0012905627825994977,1.0,True
6m,0.5,HAR-QR,0.0013039655245726367,0.6332,True
6m,0.5,HAR-X-QR,0.0013169198724202204,0.6332,True
6m,0.75,Historical Vol,0.0014799362878638264,0.0637,False
6m,0.75,"GARCH(1,1)",0.0016307065385201868,0.0085,False
6m,0.75,HAR-OLS,0.0011717584049325516,0.631,True
6m,0.75,HAR-QR,0.0011467199102191108,1.0,True
6m,0.75,HAR-X-QR,0.001187194186592618,0.631,True
6m,0.95,Historical Vol,0.0010350942211505934,0.0407,False
6m,0.95,"GARCH(1,1)",0.0006684148768447654,0.591,True
6m,0.95,HAR-OLS,0.0006082648781083879,1.0,True
6m,0.95,HAR-QR,0.0007041730253008913,0.591,True
6m,0.95,HAR-X-QR,0.0007114452334897947,0.5481,True
12m,0.05,Historical Vol,0.0007328505410401371,0.0017,False
12m,0.05,"GARCH(1,1)",0.0010809732391989502,0.0011,False
12m,0.05,HAR-OLS,0.00038260506848794795,0.5106,True
12m,0.05,HAR-QR,0.00039646976055997106,0.0649,False
12m,0.05,HAR-X-QR,0.0003681372734350114,1.0,True
12m,0.25,Historical Vol,0.0012833348540106145,0.0701,False
12m,0.25,"GARCH(1,1)",0.0020135228217462837,0.0,False
12m,0.25,HAR-OLS,0.0010483602768668414,0.4854,True
12m,0.25,HAR-QR,0.0010565134518767708,0.1932,True
12m,0.25,HAR-X-QR,0.0010282828188040035,1.0,True
12m,0.5,Historical Vol,0.001678596707694043,0.0453,False
12m,0.5,"GARCH(1,1)",0.0021528126288112384,0.0009,False
12m,0.5,HAR-OLS,0.0013870288753946405,0.4511,True
12m,0.5,HAR-QR,0.0013807109665271828,0.4986,True
12m,0.5,HAR-X-QR,0.0013583444868631004,1.0,True
12m,0.75,Historical Vol,0.00170976297028388,0.1855,True
12m,0.75,"GARCH(1,1)",0.001673991892513899,0.1855,True
12m,0.75,HAR-OLS,0.0012898600961237894,1.0,True
12m,0.75,HAR-QR,0.0013073135799575898,0.279,True
12m,0.75,HAR-X-QR,0.0013951792266049896,0.2146,True
12m,0.95,Historical Vol,0.0014654866695011147,0.0119,False
12m,0.95,"GARCH(1,1)",0.000736613448876613,1.0,True
12m,0.95,HAR-OLS,0.0007860276990711892,0.6099,True
12m,0.95,HAR-QR,0.0010411067825114443,0.2159,True
12m,0.95,HAR-X-QR,0.00100682517950462,0.2159,True
