Horizon,N,Violations,Rate (%)
1d,10450,516,4.937799043062201
1w,10450,564,5.3971291866028706
1m,10450,615,5.885167464114833
3m,10450,836,8.0
6m,10414,1082,10.389859804109852
12m,10282,1190,11.57362380859755
