Horizon,N,Violations,Rate (%)
1d,10450,502,4.803827751196172
1w,10450,545,5.215311004784689
1m,10450,641,6.133971291866028
3m,10450,678,6.488038277511962
6m,10414,928,8.911081236796619
12m,10282,1058,10.289826881929585
