,Yang-Zhang,Close-Close,Parkinson,Garman-Klass
Yang-Zhang,1.0,0.8842039588045068,0.7110544443306445,0.7642967558981415
Close-Close,0.8842039588045068,1.0,0.7672159779774812,0.711457390280046
Parkinson,0.7110544443306445,0.7672159779774812,1.0,0.9555877422670536
Garman-Klass,0.7642967558981415,0.711457390280046,0.9555877422670536,1.0
