,0
Count,10375.0
Mean,8.028263477900731e-05
Std Dev,0.01815789336150616
Min,-0.2538511073505631
25%,-0.00903164495244365
Median,0.0
75%,0.0091516026187612
Max,0.1158510650626531
Skewness,-0.36758530646765597
Kurtosis,9.056542418113727
Jarque-Bera stat,35651.8653224008
Jarque-Bera p-val,0.0
