Horizon,N,Violations,Rate (%)
1d,7737,407,5.260436861832752
1w,7733,438,5.6640372429846115
1m,7716,524,6.7910834629341625
3m,7672,669,8.720020855057351
6m,7570,921,12.166446499339498
12m,7306,1076,14.727621133315083
