,σ_daily,σ_weekly,σ_monthly,Target 1d,Target 1w,Target 1m,Target 3m,Target 6m,Target 12m
σ_daily,1.0,0.6784292440583959,0.529741245565658,0.4016636741864717,0.47232140339266476,0.467700297309711,0.44338116290238133,0.3900571223517384,0.34150205007606227
σ_weekly,0.6784292440583959,1.0,0.7883937701802024,0.47216421588635304,0.5986306618097476,0.6385889005104582,0.6189013886109099,0.5482875848601401,0.48210920542590746
σ_monthly,0.529741245565658,0.7883937701802024,1.0,0.46715814342779555,0.6378696873760658,0.7298866642440056,0.7160207992123374,0.6409629879804811,0.5677959285811328
Target 1d,0.4016636741864717,0.47216421588635304,0.46715814342779555,1.0,0.6783486777738942,0.5295779035852384,0.46759638104224827,0.4038094501174921,0.3493754023519034
Target 1w,0.47232140339266476,0.5986306618097476,0.6378696873760658,0.6783486777738942,1.0,0.7887328208260558,0.6852125848498573,0.5903635048070358,0.5088174102696829
Target 1m,0.467700297309711,0.6385889005104582,0.7298866642440056,0.5295779035852384,0.7887328208260558,1.0,0.8858125390031806,0.7690581843277216,0.6570398052167634
Target 3m,0.44338116290238133,0.6189013886109099,0.7160207992123374,0.46759638104224827,0.6852125848498573,0.8858125390031806,1.0,0.9215044135997755,0.7869660812731126
Target 6m,0.3900571223517384,0.5482875848601401,0.6409629879804811,0.4038094501174921,0.5903635048070358,0.7690581843277216,0.9215044135997755,1.0,0.9015990161034279
Target 12m,0.34150205007606227,0.48210920542590746,0.5677959285811328,0.3493754023519034,0.5088174102696829,0.6570398052167634,0.7869660812731126,0.9015990161034279,1.0
