Period,Obs,Mean Return (%),Std Dev (%),Skewness,Kurtosis,Mean Ann. Vol (%),Max Ann. Vol (%)
Full Sample,10375,0.008028263477900732,1.8157893361506159,-0.36758530646765597,9.056542418113727,24.821125937376955,109.76196987896043
1974–1990,1513,-0.07545974543909138,1.6459218279044279,0.023654130841820744,6.350707236342222,22.86905163199509,51.25270980931293
1991–2005,3799,0.011080603930227292,1.762488920373163,0.284149776153697,2.79996752859003,24.143708746209175,49.63424036076866
2006–2021,4065,0.015361099511338358,1.6082993726949792,-0.2513924331538989,5.882290680941075,23.37709967552815,53.93959392145826
2022–2025 (Crisis),998,0.09311196852509164,2.793434325942198,-1.1960385847474806,10.421326873804139,36.19985291863099,109.76196987896043
