,1d,1w,1m,3m,6m,12m
HAR-OLS,-7.302361934329353,-7.481703995014054,-7.5206332027085585,-7.515149658489856,-7.492478806439834,-7.4851033624072985
HAR-QR (median),-7.16940487947788,-7.457559110173034,-7.513193485263257,-7.511063016689705,-7.486569299657879,-7.47089343063572
Historical Vol,-7.001522092891901,-7.256099645153752,-7.326942001031298,-7.334121548405054,-7.324173664823978,-7.310216217543159
"GARCH(1,1)",-7.241783978113038,-7.38837472153442,-7.406459939220322,-7.380572938229801,-7.356089024642172,-7.345416611449494
