Horizon,N,Violations,Rate (%)
1d,10545,510,4.836415362731152
1w,10541,543,5.151313917085665
1m,10524,600,5.701254275940707
3m,10480,618,5.896946564885496
6m,10414,733,7.038601882081813
12m,10282,857,8.334954289048824
