Horizon,N,Violations,Rate (%)
1d,7737,410,5.29921158071604
1w,7733,444,5.741626794258373
1m,7716,538,6.972524624157595
3m,7672,708,9.228362877997915
6m,7570,914,12.073976221928666
12m,7306,1010,13.82425403777717
