Date,actual,forecast,q05,q25,q50,q75,q95
1984-04-30,0.0077757082784423,0.014766870824145153,1e-10,0.006220505813636163,0.011013346521912187,0.018895011984263525,0.041787201399403666
1984-05-01,0.0283908875591327,0.013484681989718944,1e-10,0.004932283503945803,0.009744785289786291,0.017616621473869623,0.040509489197368305
1984-05-02,0.011534655554607,0.01661080046212534,0.0008908932823757827,0.008044440542516908,0.012864431267702913,0.020743381277303297,0.043627577000727294
1984-05-03,0.0069869237615368,0.015258900150977053,1e-10,0.006691192244971318,0.01151917634595545,0.019398837079749577,0.04227595741977912
1984-05-04,0.0110231940102846,0.014424819177527545,1e-10,0.005886977740879705,0.010680899287599188,0.01855773241710091,0.04145583611232358
1984-05-08,0.0060146603515644,0.014819909948415248,1e-10,0.00628034084193115,0.011094688754836868,0.01896237723862832,0.04183004394663417
1984-05-09,0.0167345613751503,0.013831180601078425,1e-10,0.005280040155509232,0.010114470934977474,0.01796936655018507,0.04083900713417987
1984-05-10,0.0216677154295413,0.014246469466601833,1e-10,0.005705041538670191,0.01052268495262142,0.018381470022081427,0.04097581481560836
1984-05-11,0.024741924935161,0.015472544059483742,1e-10,0.006945243906019458,0.011756866404559483,0.019595765653081455,0.04217722349336288
1984-05-14,0.0145812095318641,0.01706540360922762,0.0014270612374854968,0.008533408852117987,0.01334382636640982,0.021189497817046175,0.04377356323033747
1984-05-15,0.0127409808998481,0.016361195152562173,0.0007209295032139136,0.00783044846752708,0.012641945280813645,0.020486211062809807,0.04306507471506146
1984-05-16,0.01037677205956,0.01656092217077825,0.0009190341470910676,0.008030312789492313,0.012844880529483252,0.02068967368408022,0.04326104167968629
1984-05-17,0.0081958633960409,0.015916388608711918,0.0002670654078183246,0.007394267556843222,0.012205430237831057,0.02005254869607037,0.04260263292321777
1984-05-18,0.0292765027337532,0.01488849912865253,1e-10,0.00636859587109651,0.011185280447686406,0.0190335952734048,0.0415612768099071
1984-05-21,0.009107724936541,0.017530612328927987,0.0018668694981247153,0.009004587664308462,0.013818557761028817,0.021668044819156285,0.04419838201807437
1984-05-22,0.0141012862925809,0.015385615856434276,1e-10,0.006863278376290416,0.011675209920587397,0.019529583916453288,0.04205591988174164
1984-05-23,0.0132282367558586,0.015968446139903326,0.0003294356674093425,0.0074634683315367364,0.012256499464974913,0.020107525473742494,0.04256731558885601
1984-05-24,0.0069856823782846,0.01595006640393982,0.00031475011840940287,0.007451214334405324,0.012237334463572194,0.02009261670131586,0.042548193698171644
1984-05-25,0.0137877603354646,0.015037608732569098,1e-10,0.006608999451612816,0.011329121133586566,0.019192724693206584,0.04167451043630009
1984-05-29,0.0150477377970078,0.014851226299977122,1e-10,0.006424530287277021,0.011151314554266514,0.018985924327711685,0.0413993676664288
1984-05-30,0.0100938154876905,0.01538283118488203,1e-10,0.006951874939233538,0.01171285209287963,0.019546768397402308,0.04191135920553518
1984-05-31,0.0301809173615881,0.014700113777538071,1e-10,0.006256760840388866,0.011033652357346359,0.018846286012441663,0.04114501000958075
1984-06-01,0.0131807272862568,0.017837796905898363,0.002283254877198177,0.009384357815134978,0.01416313261934063,0.02198977791605493,0.044257492089301624
1984-06-04,0.0179956725419866,0.016723093634404107,0.0012265041270001897,0.008298256336664016,0.013059869212922423,0.020878468713908173,0.04301782280558184
1984-06-05,0.0136470698669469,0.017252787681387455,0.0017496896562414575,0.008829660086050888,0.013574414329193114,0.021382819734346713,0.04360890637608205
1984-06-06,0.0111728410181634,0.0168108540073352,0.001308919073474319,0.008389228201572908,0.01313461830725871,0.020943112502670738,0.043170604726971734
1984-06-07,0.0124399904306829,0.016711895753075686,0.0012033851629072688,0.008300421701748044,0.013037590599680635,0.020849220109193076,0.04305406389430397
1984-06-08,0.0231445592537467,0.01581749096357443,0.00035999245014468363,0.007410810368148807,0.012131082339670779,0.019966528622009722,0.04210069869544339
1984-06-11,0.011496424565657,0.01762250951173273,0.002150496734042478,0.0092013233256508,0.013931992868370463,0.02179250003631061,0.04389760572783226
1984-06-12,0.009278062294496,0.016125881205943257,0.0006496446025367336,0.007702341279822809,0.012439795685871101,0.02030633825844903,0.04240645993957956
1984-06-13,0.0086870241488671,0.015471809034351289,1e-10,0.007073032831698247,0.011791504832426594,0.019662161531408328,0.041763261186367036
