Date,actual,forecast,q05,q25,q50,q75,q95
1984-04-30,0.0131426451529712,0.017101108491855352,0.010642137280027613,0.013966637355896178,0.01631011652113449,0.018952421635528658,0.027583119742383453
1984-05-01,0.0131578593378734,0.016894513240299273,0.010436134003484577,0.013760069269334617,0.01610246400968738,0.018741952535013994,0.027371233292292792
1984-05-02,0.0130754978205643,0.017374421359001413,0.01091678212884675,0.014239028950557347,0.01657866352607753,0.019216827621677743,0.027847565580082764
1984-05-03,0.0130711149161205,0.017315379303714178,0.010857468528675578,0.014173748873484278,0.016517817047758343,0.019158926570316783,0.027786310273577072
1984-05-04,0.0130602373585275,0.01693524186182507,0.01047291024392118,0.01378821465066466,0.0161382893823903,0.01878092944226488,0.02740546132846152
1984-05-08,0.0130479209917558,0.016988841626667004,0.01052131076326715,0.013842899637341295,0.01619143242877411,0.018835783012119266,0.027458548010730152
1984-05-09,0.0130335180801905,0.016538324527376153,0.010066080416567563,0.01339258116446359,0.015741643639684937,0.01838381562489314,0.027006975124104743
1984-05-10,0.0130002021050654,0.0165830344784564,0.010108936885494916,0.013435585535947283,0.015781407744485852,0.01842865922761147,0.02705194165041716
1984-05-11,0.0129588164037585,0.016868290697194657,0.010395252678192232,0.013719340546015863,0.01606347731194096,0.018714669923432018,0.027336878906420767
1984-05-14,0.0129034079608839,0.01730254774337378,0.01083126565315707,0.014153966722816663,0.01649861334860825,0.019150199661517663,0.027771484772965538
1984-05-15,0.0129039912088283,0.01731332833521296,0.010844252039006162,0.014164840355156187,0.016510226160040067,0.01916258838745568,0.027783326962634983
1984-05-16,0.0128949170503014,0.017344731216303838,0.010877342674362944,0.01419468615307735,0.016542056140107786,0.01919556391894795,0.02781668844848463
1984-05-17,0.0128820579918424,0.017223274160528778,0.010757325530390032,0.014071796174386371,0.016423102844900846,0.019075528004718893,0.027697814974774602
1984-05-18,0.0129040185487163,0.017052553687378704,0.01058880213060144,0.01390207026060703,0.016249682444678816,0.01890695233989595,0.0275295686488756
1984-05-21,0.0128155557040296,0.017609640718610733,0.011148559261176465,0.014460309141748447,0.01680690569682192,0.01944994241488464,0.02808913772372415
1984-05-22,0.0127906213761763,0.017492374916556055,0.011035188281904309,0.014346199775773564,0.01669211965224077,0.019321436286015504,0.02797300835700526
1984-05-23,0.0127663897107737,0.017571035262079038,0.011117193399125562,0.014424720793537647,0.016772255813506238,0.019387875116906615,0.028054116580770803
1984-05-24,0.0127581842262575,0.017486286994476494,0.011035127443074735,0.014337094738624004,0.016682464433358565,0.01930621603888085,0.02797171876615515
1984-05-25,0.0128030633993404,0.01714634021111045,0.010697376906636163,0.0139992542110035,0.01633899752414664,0.018968979769242,0.027633756074812405
1984-05-29,0.0127741884534725,0.017167572520692075,0.010717241227606034,0.014024367353884638,0.016357500522560048,0.018990240604968962,0.027653283599783404
1984-05-30,0.0127371557759467,0.01731320078263594,0.010862552555780757,0.014167159656764844,0.016505880960943253,0.019136715184232718,0.02779656690443391
1984-05-31,0.0127340626306642,0.017274266442603856,0.0108246933953056,0.01413001281675752,0.016469040572088096,0.01910004361804731,0.027757574531912473
1984-06-01,0.0126494134805074,0.017854961939241368,0.011404431564962306,0.014709626665458574,0.01704888536239603,0.019682566726284784,0.02833953431033502
1984-06-04,0.0126270314257297,0.01782606138703085,0.011374490070215269,0.014678167556525516,0.017017785178507085,0.0196572635608778,0.028314746204414737
1984-06-05,0.0126172273679448,0.0177135881769186,0.01125838063388995,0.014551192854071512,0.016909523538736305,0.01953892375868517,0.02819559382505567
1984-06-06,0.012597241896456,0.017698315125054986,0.011243411187572296,0.014531517413013204,0.016896580093171312,0.019522022506796924,0.02817915318804378
1984-06-07,0.0125752895624592,0.017747663365005117,0.011293488794147918,0.014580514744978868,0.016949925556355022,0.019569130558449062,0.028229543361775286
1984-06-08,0.0125442585061014,0.017686758910058054,0.01122704985386122,0.014521731269425102,0.016892055613962155,0.019506448722561007,0.028170001103195272
1984-06-11,0.0125004031226908,0.01811582616867195,0.011652802422222632,0.014952648152390523,0.017322533563851883,0.01993692939857629,0.028600332385567334
1984-06-12,0.0125090210985463,0.01788836718569545,0.011427802627101524,0.014723972680733877,0.01709856170715097,0.01971129766606186,0.028372831192091014
1984-06-13,0.0124957733005577,0.017635881879958137,0.01117783067570943,0.014464266667680779,0.0168434140491439,0.019461588387634683,0.028122127800651084
1984-06-14,0.0125292386921095,0.01734612251415618,0.01089055204011229,0.014172134022347606,0.016545532822215735,0.01917468015418109,0.027834429923185845
1984-06-15,0.0125681242029894,0.01721371943467496,0.010760572523363616,0.014036122313846735,0.01640914546760422,0.019045065899579848,0.027704204912364548
1984-06-18,0.0125795978639957,0.017085773931917504,0.010635229560770747,0.013909744265124181,0.01627874276423142,0.018919851034581058,0.027579944467111053
1984-06-19,0.0124877376029881,0.01767584021330872,0.011228017449324881,0.01449926285811462,0.016867347110437112,0.01951147077812009,0.02817248127891398
1984-06-20,0.0124599819802699,0.01782247518003238,0.011377433677851191,0.014638369566233808,0.01701666131811414,0.019656767347436394,0.028320462163547118
1984-06-21,0.0123942225538277,0.017952203948732467,0.01150986558522937,0.01476252752473949,0.017146753024080964,0.019785270475812505,0.02845164759834168
1984-06-22,0.0123234005764135,0.01842928099663364,0.011989707203702096,0.015241064656610135,0.017624191710319877,0.020261227212521438,0.028930135515483638
1984-06-25,0.0123233956646356,0.018091891517091726,0.01165515649057147,0.014905269130438353,0.0172873704646195,0.019924605916854077,0.028593343852918073
1984-06-26,0.0122820155046605,0.018259093665810404,0.011825081326628798,0.01507348986759395,0.017454908916904464,0.02008787992613525,0.028763889033732358
1984-06-27,0.0123122579443628,0.01812012763233685,0.011689686628080584,0.014933777969217757,0.017318037175531216,0.019948099122633997,0.02862894091337042
1984-06-28,0.0121970673034555,0.018707477176843793,0.012280715396763599,0.015518083001248894,0.01790891368195627,0.020539398808160275,0.029222332113169807
1984-06-29,0.0121689830895327,0.018454968308024903,0.012027420482569919,0.015262364029875639,0.01765877852210516,0.020286799107213475,0.028976476652296253
1984-07-02,0.0121403794719695,0.018707152416734076,0.012285979334819577,0.015513837655259238,0.01791117814510912,0.020503995378253346,0.029234971497305723
1984-07-03,0.0121088419997134,0.018388226131893344,0.011957646147203294,0.015195018977454487,0.017594415520553353,0.02017285418668535,0.02892185689745392
1984-07-04,0.0121224027541163,0.018205927183960136,0.011782524110365488,0.015012520339271314,0.017417277414008645,0.01999455907028294,0.0287454244068244
1984-07-05,0.0122114128976687,0.01785077587951816,0.011433224592472774,0.014657635349177897,0.017067052159892154,0.019641395158625834,0.028396005300740556
1984-07-06,0.012202688277885,0.01785319927759053,0.011440840021909728,0.014663821393044221,0.017074509605335284,0.019643868501456073,0.028403982684193252
