Date,actual,mean,q05,q25,q50,q75,q95
1984-03-28,0.0133740808275045,0.0353940205911501,0.0040139501832441235,0.02252628846972627,0.0353940205911501,0.04826175271257393,0.06677409099905607
1984-03-29,0.0133771443767045,0.0353940205911501,0.004017862209483122,0.022527892637755245,0.0353940205911501,0.048260148544544954,0.06677017897281706
1984-03-30,0.0133874513856437,0.0353940205911501,0.0040726544842655185,0.022550360793659883,0.0353940205911501,0.04823768038864032,0.06671538669803467
1984-04-02,0.0133051368148541,0.0353940205911501,0.004081412145128256,0.022553951965780503,0.0353940205911501,0.0482340892165197,0.06670662903717194
1984-04-03,0.0133125278002497,0.0353940205911501,0.004082739973552067,0.022554496455969297,0.0353940205911501,0.0482335447263309,0.06670530120874812
1984-04-04,0.0132345192888445,0.0353940205911501,0.004088754896007518,0.022556962938991225,0.0353940205911501,0.048231078243308974,0.06669928628629267
1984-04-05,0.0132099804248507,0.0353940205911501,0.004170995239064265,0.02259068646765997,0.0353940205911501,0.048197354714640234,0.06661704594323592
1984-04-06,0.0132077674954498,0.0353940205911501,0.004314289049719786,0.022649445621039967,0.0353940205911501,0.04813859556126023,0.0664737521325804
1984-04-09,0.0132384878786199,0.0353940205911501,0.004314343094870131,0.022649467782829537,0.0353940205911501,0.04813857339947066,0.06647369808743006
1984-04-10,0.0133161540904528,0.0353940205911501,0.004360787073792265,0.022668512631093245,0.0353940205911501,0.04811952855120695,0.06642725410850792
1984-04-11,0.013319311195952,0.0353940205911501,0.004358675635813256,0.022667646813459577,0.0353940205911501,0.04812039436884062,0.06642936554648693
1984-04-12,0.0133126067909847,0.0353940205911501,0.004368663799677486,0.022671742566442894,0.0353940205911501,0.048116298615857304,0.0664193773826227
1984-04-13,0.0132794793137522,0.0353940205911501,0.004368813761928925,0.022671804060061446,0.0353940205911501,0.04811623712223875,0.06641922742037126
1984-04-16,0.013285570347047,0.0353940205911501,0.0043745966065173135,0.02267417537708196,0.0353940205911501,0.04811386580521824,0.06641344457578288
1984-04-17,0.013285463586036,0.0353940205911501,0.004373803234354302,0.022673850046375767,0.0353940205911501,0.04811419113592443,0.06641423794794589
1984-04-18,0.0132690540520769,0.0353940205911501,0.004369172304419879,0.022671951084228942,0.0353940205911501,0.04811609009807126,0.06641886887788032
1984-04-19,0.0132350568128024,0.0353940205911501,0.0043693434763881905,0.022672021275117818,0.0353940205911501,0.04811601990718238,0.066418697705912
1984-04-24,0.0131758398642424,0.0353940205911501,0.004388785897352525,0.02267999384692881,0.0353940205911501,0.048108047335371384,0.06639925528494767
1984-04-25,0.0131492316440418,0.0353940205911501,0.00444104564174759,0.022701423511772404,0.0353940205911501,0.0480866176705278,0.0663469955405526
1984-04-26,0.0131358173455928,0.0353940205911501,0.004470238932954403,0.022713394531789534,0.0353940205911501,0.048074646650510665,0.06631780224934578
1984-04-27,0.0131699010969492,0.0353940205911501,0.004467851729391851,0.022712415633540966,0.0353940205911501,0.04807562554875923,0.06632018945290834
1984-04-30,0.0131426451529712,0.0353940205911501,0.0044691118684017615,0.022712932366964585,0.0353940205911501,0.04807510881533561,0.06631892931389842
1984-05-01,0.0131578593378734,0.03454494523735838,0.0036185227270332347,0.02186323626845261,0.03454494523735838,0.04722665420626416,0.06547136774768351
1984-05-02,0.0130754978205643,0.03454494523735838,0.0036154838149486564,0.02186199013018279,0.03454494523735838,0.047227900344533974,0.0654744066597681
1984-05-03,0.0130711149161205,0.03454494523735838,0.003614895847395501,0.02186174902782477,0.03454494523735838,0.047228141446892,0.06547499462732126
1984-05-04,0.0130602373585275,0.03454494523735838,0.0036136903712498704,0.0218612547094909,0.03454494523735838,0.04722863576522587,0.06547620010346689
1984-05-08,0.0130479209917558,0.03454494523735838,0.0036237351022956957,0.021865373658449566,0.03454494523735838,0.0472245168162672,0.06546615537242106
1984-05-09,0.0130335180801905,0.03454494523735838,0.0036223096048902705,0.02186478911805452,0.03454494523735838,0.04722510135666225,0.06546758086982649
1984-05-10,0.0130002021050654,0.03454494523735838,0.0036188457609843787,0.021863368731965132,0.03454494523735838,0.04722652174275163,0.06547104471373237
1984-05-11,0.0129588164037585,0.03454494523735838,0.0036451466383992555,0.021874153686897796,0.03454494523735838,0.04721573678781897,0.0654447438363175
1984-05-14,0.0129034079608839,0.03454494523735838,0.0036461059359167228,0.021874547057062967,0.03454494523735838,0.0472153434176538,0.06544378453880004
1984-05-15,0.0129039912088283,0.03454494523735838,0.0036472553496194257,0.021875018386394954,0.03454494523735838,0.04721487208832181,0.06544263512509732
1984-05-16,0.0128949170503014,0.03454494523735838,0.0036468833844616917,0.02187486585811997,0.03454494523735838,0.047215024616596796,0.06544300709025506
1984-05-17,0.0128820579918424,0.03454494523735838,0.0036461236933118604,0.02187455433867199,0.03454494523735838,0.047215336136044776,0.0654437667814049
