Date,actual,q05,q25,q50,q75,q95
1984-04-30,0.0077757082784423,0.004849983209056224,0.008217049470994622,0.01176594003215523,0.017775899881370197,0.034425268271375424
1984-05-01,0.0283908875591327,0.004557921189161468,0.007570769616020168,0.010961224419632805,0.01603775091919263,0.03169240767786352
1984-05-02,0.011534655554607,0.0054302524411627634,0.00907265017914175,0.013280995584508315,0.019301326070482943,0.03811744697540408
1984-05-03,0.0069869237615368,0.004975892531863592,0.008492632811447742,0.012157551238192265,0.018495963215682358,0.035649409878982394
1984-05-04,0.0110231940102846,0.004710410288087362,0.00805512858271742,0.011425988136383125,0.017643172946680434,0.03393827529582654
1984-05-08,0.0060146603515644,0.004842125638876758,0.008232752392898866,0.011719717376789816,0.01796196332756299,0.034577050863934394
1984-05-09,0.0167345613751503,0.004537141726876717,0.007720425078298818,0.010855464491800254,0.016961648703356466,0.032557672502671955
1984-05-10,0.0216677154295413,0.004750962464824743,0.007862919700854506,0.011386302978058005,0.01668646255990887,0.033102862855496906
1984-05-11,0.024741924935161,0.005067537086268586,0.008476914776721373,0.0122760345343749,0.018174950451552856,0.03571463324198604
1984-05-14,0.0145812095318641,0.005446852520464569,0.009302993433489677,0.01337094342065223,0.020371313009914082,0.03922001002121044
1984-05-15,0.0127409808998481,0.005193835423466864,0.009015371025769135,0.012767028305591184,0.020145993786991834,0.037976865989944285
1984-05-16,0.01037677205956,0.005214986249102329,0.009132098575848234,0.012832886779753862,0.02063062691993493,0.038517152161842316
1984-05-17,0.0081958633960409,0.005058487675380822,0.008814730095910977,0.012391453529197257,0.019812509671980897,0.03713945717619557
1984-05-18,0.0292765027337532,0.004828855889837862,0.008299765498219225,0.011741725994124905,0.018355953604215876,0.03486927429897856
1984-05-21,0.009107724936541,0.005609483378942616,0.00954941922175766,0.013922082956058462,0.020728236831048758,0.04010515896490922
1984-05-22,0.0141012862925809,0.005015099927437373,0.008586672346421183,0.012244244376073535,0.018909498603054298,0.0357348610938791
1984-05-23,0.0132282367558586,0.005188747877163228,0.008855710294590315,0.012713725416826114,0.01942614749490439,0.03698085851078724
1984-05-24,0.0069856823782846,0.00515911098148191,0.008843493866729137,0.01263185504210821,0.019505540812598803,0.036904901903140115
1984-05-25,0.0137877603354646,0.004865535803069609,0.008372612523654215,0.011808346099496134,0.018606136506661146,0.03483539775053613
1984-05-29,0.0150477377970078,0.004939116168762102,0.008253075269553057,0.011955852964970572,0.017775426476517128,0.0346277837287716
1984-05-30,0.0100938154876905,0.005011700763649937,0.008538357315165944,0.012354204633613622,0.018384477040858615,0.03535771936806058
1984-05-31,0.0301809173615881,0.004834565294219102,0.008236715498011303,0.011869197045297845,0.017708716867742863,0.033968740279607515
1984-06-01,0.0131807272862568,0.005681724857325494,0.009729901731594852,0.014317542938212956,0.0211318181613084,0.0409974002453366
1984-06-04,0.0179956725419866,0.00531141480376577,0.009281769427954637,0.013234495103793377,0.020579387563067722,0.038415173312519195
1984-06-05,0.0136470698669469,0.005440071587436967,0.009497607259136653,0.013566694421928706,0.021084206329577165,0.039454789914922676
1984-06-06,0.0111728410181634,0.005433056018859854,0.009331157248223535,0.013190129584898359,0.02072897894409658,0.03804657537857065
1984-06-07,0.0124399904306829,0.00541254633212263,0.009304257572558997,0.013099599221319305,0.020751201268893817,0.0377454389740673
1984-06-08,0.0231445592537467,0.005168891088265931,0.008842533934439812,0.01269646007643649,0.019272054343636696,0.036461760628570344
1984-06-11,0.011496424565657,0.005665628973035247,0.009742253457563837,0.014126510839483053,0.021221570946040325,0.040594302669153974
1984-06-12,0.009278062294496,0.005260936229475071,0.00902482868163286,0.012929013552188466,0.019768580755028336,0.037060799897499073
1984-06-13,0.0086870241488671,0.005106171133988294,0.008700377857246545,0.012419000701247924,0.01905966897353043,0.035446046264532606
1984-06-14,0.0083380955168021,0.004969022412448946,0.008445642625878446,0.012020308335336568,0.018464795775441193,0.034397657312596176
1984-06-15,0.0092252630202433,0.004859774193812227,0.008247796856601937,0.011756432452717035,0.01792899435333635,0.03367114837362932
1984-06-18,0.029434477030222,0.004626521167911901,0.007832356226722098,0.011318557659017927,0.01657137024175039,0.032435420350678874
1984-06-19,0.0193534898677251,0.00549532040625362,0.00937429784295647,0.013724921666396023,0.019621635281152162,0.03960089274639578
1984-06-20,0.0271920172384293,0.005526874067639197,0.009373397601103641,0.013490289121040494,0.020316475148041788,0.03866781529530879
1984-06-21,0.0297155480907396,0.00601043290217145,0.010224222247402064,0.014623428972056313,0.022382887692574436,0.04211788323603936
1984-06-22,0.0067929588474053,0.006531591152458903,0.011164943872281072,0.015835027027826694,0.024955833888220674,0.045562327076453864
1984-06-25,0.0198168533875177,0.005910246879039968,0.0100870325580733,0.013900439964530229,0.023519258151322327,0.03970460316980191
1984-06-26,0.0083541102976135,0.006092430040495478,0.010395282718112187,0.014698924081521547,0.023346325756033025,0.04211454548437563
1984-06-27,0.0336646310969537,0.005653857022911252,0.009596766952040347,0.0135160023716484,0.021802581175120024,0.03841968058027982
1984-06-28,0.0149268876762438,0.006438226297016756,0.011007124745004216,0.015935656220719015,0.023965443479871548,0.04573537445182753
1984-06-29,0.0191670649188003,0.005767398579343288,0.00981954121449694,0.01410032143771729,0.0217741345093203,0.04002257553548514
1984-07-02,0.0150688440482224,0.006137272055199168,0.010481415011449514,0.014922942516313997,0.023084474949440208,0.041910273044079294
1984-07-03,0.0071407032369459,0.00588695219308811,0.010021821401272885,0.01420844721081142,0.022141014730013356,0.039877415456916816
1984-07-04,0.00658883369677,0.00565574337931226,0.009613874958860479,0.013481119101231533,0.02164712988817527,0.03766882838923858
1984-07-05,0.0121986359175392,0.005134124845393064,0.008690189485554256,0.012447826616321227,0.018873644383501562,0.034562226071868964
1984-07-06,0.0089997202547844,0.0052083782494235665,0.00882263341202095,0.012757123653885741,0.018799031300048886,0.035550610819460586
1984-07-09,0.0203983345317512,0.004955691656237378,0.008377262221422552,0.012186000366678364,0.01769183786583185,0.033780174317097504
1984-07-10,0.0141846211147913,0.005343888929061036,0.00907496583257757,0.013326988902917397,0.018783208894529824,0.03725450117461641
1984-07-11,0.018083967607352,0.005273550957753091,0.008935520241958728,0.0128812412039325,0.018951588835389443,0.03607848384009699
1984-07-12,0.0140373144338569,0.005587094797375092,0.00949266479003148,0.013631956922388996,0.02031336715070698,0.03832215926410641
1984-07-13,0.0246762111356855,0.005550704002263592,0.009432243155173726,0.013472661315591439,0.020414399755106866,0.037755856496368964
1984-07-16,0.011724162157687,0.006135292853564646,0.010480741942144113,0.015014457299759072,0.02264897780435838,0.04234914573963151
1984-07-17,0.0046500641592721,0.0057153726640255835,0.009744204666986262,0.013856594046310197,0.021380122098803075,0.038690930333201486
1984-07-18,0.0088598460669042,0.0053716255237017336,0.009139253429106813,0.012965288467797943,0.02009865084491402,0.03594463956590363
1984-07-19,0.0124413816311927,0.0052068026797302954,0.008823520825892104,0.012632671790573938,0.01897628528949717,0.03519121688350178
1984-07-20,0.0171995748349314,0.0052255412118452985,0.008848109828544037,0.012726691294953203,0.018827716981773004,0.03558146451013409
1984-07-23,0.0211611494067768,0.005157207327241502,0.008716015505373828,0.01267497109900003,0.01811941620336963,0.03556870162089415
1984-07-24,0.0068154159293117,0.005359385550956196,0.009060581304838682,0.013102289308760487,0.01896698928154812,0.037000442492067964
