Date,Year,Month,nino34_raw,nino34
1969-01-01,1969,1,27.5,0.9556666666666658
1969-02-01,1969,2,27.86,1.1076666666666632
1969-03-01,1969,3,27.82,0.536999999999999
1969-04-01,1969,4,28.13,0.3113333333333337
1969-05-01,1969,5,28.29,0.3566666666666656
1969-06-01,1969,6,27.69,-0.03666666666666529
1969-07-01,1969,7,27.08,-0.2133333333333347
1969-08-01,1969,8,27.02,0.16499999999999915
1969-09-01,1969,9,27.15,0.4313333333333347
1969-10-01,1969,10,27.34,0.623666666666665
1969-11-01,1969,11,27.1,0.3973333333333322
1969-12-01,1969,12,26.98,0.3810000000000002
1970-01-01,1970,1,26.83,0.28566666666666407
1970-02-01,1970,2,26.95,0.1976666666666631
1970-03-01,1970,3,27.14,-0.14300000000000068
1970-04-01,1970,4,27.74,-0.07866666666666688
1970-05-01,1970,5,27.63,-0.30333333333333456
1970-06-01,1970,6,27.04,-0.6866666666666674
1970-07-01,1970,7,26.21,-1.0833333333333321
1970-08-01,1970,8,25.6,-1.254999999999999
1970-09-01,1970,9,25.65,-1.0686666666666653
1970-10-01,1970,10,25.6,-1.1163333333333334
1970-11-01,1970,11,25.57,-1.132666666666669
1970-12-01,1970,12,25.27,-1.3290000000000006
1971-01-01,1971,1,24.81,-1.7343333333333355
1971-02-01,1971,2,25.18,-1.5723333333333365
1971-03-01,1971,3,25.92,-1.3629999999999995
1971-04-01,1971,4,26.63,-1.1886666666666663
1971-05-01,1971,5,26.95,-0.9833333333333343
1971-06-01,1971,6,26.6,-1.1266666666666652
1971-07-01,1971,7,26.13,-1.163333333333334
1971-08-01,1971,8,25.75,-1.1050000000000004
1971-09-01,1971,9,25.72,-0.998666666666665
1971-10-01,1971,10,25.47,-1.246333333333336
1971-11-01,1971,11,25.56,-1.1426666666666705
1971-12-01,1971,12,25.37,-1.2289999999999992
1972-01-01,1972,1,25.62,-0.9243333333333332
1972-02-01,1972,2,26.3,-0.4523333333333355
1972-03-01,1972,3,27.09,-0.1930000000000014
1972-04-01,1972,4,27.89,0.07133333333333525
1972-05-01,1972,5,28.32,0.3866666666666667
1972-06-01,1972,6,28.18,0.45333333333333314
1972-07-01,1972,7,28.14,0.8466666666666676
1972-08-01,1972,8,27.95,1.0949999999999989
1972-09-01,1972,9,27.95,1.2313333333333354
1972-10-01,1972,10,28.26,1.5436666666666667
1972-11-01,1972,11,28.61,1.9073333333333302
1972-12-01,1972,12,28.69,2.091000000000001
1973-01-01,1973,1,28.34,1.7956666666666656
1973-02-01,1973,2,27.95,1.197666666666663
1973-03-01,1973,3,27.55,0.26699999999999946
1973-04-01,1973,4,27.24,-0.5786666666666669
1973-05-01,1973,5,26.96,-0.9733333333333327
1973-06-01,1973,6,26.55,-1.1766666666666659
1973-07-01,1973,7,25.76,-1.5333333333333314
1973-08-01,1973,8,25.22,-1.6350000000000016
1973-09-01,1973,9,25.06,-1.6586666666666652
1973-10-01,1973,10,24.73,-1.9863333333333344
1973-11-01,1973,11,24.33,-2.372666666666671
1973-12-01,1973,12,24.33,-2.269000000000002
1974-01-01,1974,1,24.46,-2.0843333333333334
1974-02-01,1974,2,25.1,-1.6523333333333348
1974-03-01,1974,3,25.84,-1.4430000000000014
1974-04-01,1974,4,26.46,-1.3586666666666645
1974-05-01,1974,5,26.64,-1.293333333333333
1974-06-01,1974,6,26.53,-1.1966666666666654
1974-07-01,1974,7,26.39,-0.9033333333333324
1974-08-01,1974,8,26.33,-0.5250000000000021
1974-09-01,1974,9,26.08,-0.6386666666666656
1974-10-01,1974,10,25.78,-0.9363333333333337
1974-11-01,1974,11,25.61,-1.0926666666666698
1974-12-01,1974,12,25.63,-0.9690000000000012
1975-01-01,1975,1,26.09,-0.45433333333333437
1975-02-01,1975,2,26.07,-0.6823333333333359
1975-03-01,1975,3,26.19,-1.093
1975-04-01,1975,4,26.86,-0.9586666666666659
1975-05-01,1975,5,26.8,-1.1333333333333329
1975-06-01,1975,6,26.23,-1.4966666666666661
1975-07-01,1975,7,25.9,-1.3933333333333344
1975-08-01,1975,8,25.33,-1.5250000000000021
1975-09-01,1975,9,25.05,-1.6686666666666632
1975-10-01,1975,10,24.89,-1.8263333333333343
1975-11-01,1975,11,25.05,-1.6526666666666685
1975-12-01,1975,12,24.67,-1.9289999999999985
1976-01-01,1976,1,24.54,-2.004333333333335
1976-02-01,1976,2,25.49,-1.2623333333333377
1976-03-01,1976,3,26.46,-0.8230000000000004
1976-04-01,1976,4,26.88,-0.9386666666666663
1976-05-01,1976,5,27.2,-0.7333333333333343
1976-06-01,1976,6,27.35,-0.37666666666666515
