Date,actual,q05,q25,q50,q75,q95
1984-04-30,0.0131422738328006,0.00785228468410121,0.011221877258656933,0.01386127993888043,0.017413786181917836,0.02875074754986564
1984-05-01,0.012790064247425,0.0074036772528016355,0.010479778936772042,0.012836345804969547,0.016141874712816206,0.026370487574642835
1984-05-02,0.0104587990106286,0.008109944600396777,0.01183118945403442,0.014828996435542379,0.01872155809376388,0.031494064904455533
1984-05-03,0.0124854109856154,0.008114416051945624,0.011586001837511581,0.014313334222883752,0.01798365224845879,0.029841332800522386
1984-05-04,0.0160364112203403,0.007804279737562863,0.011164355171639745,0.013734206546574802,0.01720725576104998,0.02862742222057033
1984-05-08,0.0167480143246562,0.007858106915047553,0.011295041485270479,0.013909980185610439,0.017436837450440387,0.029064487543124524
1984-05-09,0.0180932784343129,0.007490373475512211,0.010805457522319135,0.013236167144118287,0.016527362182883587,0.027662269075494312
1984-05-10,0.0168217205711949,0.007309571168813748,0.0106186566808208,0.013104008738013196,0.016468738772797437,0.027517781804608666
1984-05-11,0.0141273501644948,0.007719575859083316,0.01127732885597466,0.014018125807710679,0.017619769156518233,0.0296979697920297
1984-05-14,0.0150342657242132,0.008384276882419668,0.012284165993171055,0.015364604110090122,0.01928542725931196,0.032801147594687934
1984-05-15,0.0139395688051486,0.008456510653662937,0.012260170393804719,0.015230755691861197,0.019030100524087334,0.032116488124831644
1984-05-16,0.0142116298836951,0.008609271419967549,0.012482817929783303,0.015509038572944047,0.019355600028345243,0.032771751655621476
1984-05-17,0.0147819228229549,0.008399313918897712,0.012122654714745702,0.01501491940610892,0.01875003772055375,0.0315746250123165
1984-05-18,0.0145398866194036,0.00801680733057552,0.011480369292182829,0.014148861456648827,0.017702303450914017,0.029469014549512455
1984-05-21,0.0114421381397459,0.008528436558539626,0.012498324194425474,0.015658976001511424,0.019633121734204458,0.03315262929348606
1984-05-22,0.0126301407118392,0.008329338110916393,0.01181684109538275,0.014517585830714242,0.018241136159774022,0.02963680633962441
1984-05-23,0.0118286465508612,0.008418640874453182,0.012016434884042644,0.014832298390897173,0.01865486737923438,0.03053970452589722
1984-05-24,0.0152191826720071,0.008411889518915978,0.012040156803022051,0.01485935398114163,0.018661303519721704,0.030661239563098047
1984-05-25,0.0164581916536015,0.008135745533892664,0.011631605397600983,0.014269914577215749,0.017866551779931107,0.029262195530075502
1984-05-29,0.0172997740949059,0.007863516980969385,0.011225270906994541,0.013804278755922196,0.01738635110415922,0.0282710671624199
1984-05-30,0.0170196405088937,0.008095961138846874,0.011564259439727824,0.01427494912632997,0.017948451027561457,0.029373898930260774
