Date,actual,forecast,q05,q25,q50,q75,q95
1984-04-30,0.0131422738328006,0.015352181992938314,0.004845769522509801,0.009906240880507403,0.013611110342597146,0.0183049005856741,0.03131252566915882
1984-05-01,0.012790064247425,0.014256796435659146,0.0037264306690875035,0.008821674414883594,0.012516828625784042,0.017200455725973694,0.03020625494665748
1984-05-02,0.0104587990106286,0.016343996268690264,0.005812808974541202,0.01091417409456863,0.014611480475718162,0.0192910810741668,0.03228089838099284
1984-05-03,0.0124854109856154,0.015802683597676954,0.0052734852659592265,0.010367735697487836,0.014066373054862812,0.018753593416224297,0.03174477920722292
1984-05-04,0.0160364112203403,0.015189293951848174,0.004662126354814283,0.009755968259780264,0.013447135596783968,0.01814190708864767,0.03113255548922779
1984-05-08,0.0167480143246562,0.015401158232136924,0.004876970094691513,0.009973268598125279,0.013663164454621082,0.018352461544987764,0.03133490441626932
1984-05-09,0.0180932784343129,0.014682655166252995,0.004154103758847883,0.009254556909902054,0.012942489683479982,0.017633203838621256,0.030612944866464563
1984-05-10,0.0168217205711949,0.014577008140236002,0.004049429230520254,0.009147857065588265,0.012837565369582544,0.017539689399286927,0.03050988063580881
1984-05-11,0.0141273501644948,0.015536946254928465,0.00500138139807816,0.010100687924287248,0.013801060469219814,0.01849063915168511,0.031465407591927425
1984-05-14,0.0150342657242132,0.01693335618196541,0.00639266907029608,0.011506943178117731,0.015196597661944278,0.019882546096527547,0.0328569377707708
1984-05-15,0.0139395688051486,0.01673135983563884,0.006179457770351138,0.011305848092594235,0.01499104745603282,0.019677054964531482,0.032653861455945524
1984-05-16,0.0142116298836951,0.0170129874404351,0.0064509363177202034,0.011582310580369733,0.015270583948448619,0.019961947504059475,0.032933940108591186
1984-05-17,0.0147819228229549,0.01650067684643278,0.005936752033791518,0.011069160054038775,0.0147515970102738,0.019451296468272032,0.032422988173052336
1984-05-18,0.0145398866194036,0.015608894811179651,0.005054454274225821,0.010185625359044496,0.013864266116698639,0.01855417665872102,0.0315341409960369
1984-05-21,0.0114421381397459,0.017188712928035768,0.006668070115604802,0.011789368559048708,0.015466818866967044,0.020137135802965996,0.03313029910629776
